,Timepoint,Condition,PBMC_sample,Cell_Type,MFI,Positive_Percentage
223,48,Doxorubicin_Cal27,CD3neg_PBMC,CD86_DC,10595.0,99.93333333333334
224,48,Doxorubicin_Cal27,CD3neg_PBMC,CD86_MO,4678.0,99.83333333333333
225,48,Doxorubicin_Cal27,CD3neg_PBMC,DR_B,64292.666666666664,100.0
226,48,Doxorubicin_Cal27,CD3neg_PBMC,DR_DC,43498.666666666664,99.16666666666667
227,48,Doxorubicin_Cal27,CD3neg_PBMC,DR_MO,26487.0,99.7
228,48,Doxorubicin_Cal27,TW,CD40_B,2098.3333333333335,94.06666666666666
229,48,Doxorubicin_Cal27,TW,CD40_DC,1599.3333333333333,77.39999999999999
230,48,Doxorubicin_Cal27,TW,CD40_MO,1733.6666666666667,80.89999999999999
231,48,Doxorubicin_Cal27,TW,CD80_B,48.9,3.0833333333333335
232,48,Doxorubicin_Cal27,TW,CD80_DC,160.0,13.299999999999999
233,48,Doxorubicin_Cal27,TW,CD80_MO,134.33333333333334,7.81
234,48,Doxorubicin_Cal27,TW,CD86_B,2963.3333333333335,97.06666666666666
235,48,Doxorubicin_Cal27,TW,CD86_DC,11740.666666666666,99.83333333333333
236,48,Doxorubicin_Cal27,TW,CD86_MO,3797.3333333333335,99.23333333333333
237,48,Doxorubicin_Cal27,TW,DR_B,54019.333333333336,100.0
238,48,Doxorubicin_Cal27,TW,DR_DC,40942.333333333336,99.66666666666667
239,48,Doxorubicin_Cal27,TW,DR_MO,24597.666666666668,99.96666666666665
240,48,Doxorubicin_Cal27,Whole_PBMC,CD40_B,2907.0,97.76666666666667
241,48,Doxorubicin_Cal27,Whole_PBMC,CD40_DC,2374.0,88.53333333333335
242,48,Doxorubicin_Cal27,Whole_PBMC,CD40_MO,2948.6666666666665,91.93333333333334
243,48,Doxorubicin_Cal27,Whole_PBMC,CD80_B,62.23333333333333,5.81
244,48,Doxorubicin_Cal27,Whole_PBMC,CD80_DC,180.0,19.333333333333332
245,48,Doxorubicin_Cal27,Whole_PBMC,CD80_MO,182.0,20.366666666666667
246,48,Doxorubicin_Cal27,Whole_PBMC,CD86_B,3490.3333333333335,99.0
247,48,Doxorubicin_Cal27,Whole_PBMC,CD86_DC,13054.666666666666,99.96666666666665
248,48,Doxorubicin_Cal27,Whole_PBMC,CD86_MO,5447.333333333333,99.83333333333333
249,48,Doxorubicin_Cal27,Whole_PBMC,DR_B,62582.333333333336,100.0
250,48,Doxorubicin_Cal27,Whole_PBMC,DR_DC,52915.666666666664,99.60000000000001
251,48,Doxorubicin_Cal27,Whole_PBMC,DR_MO,35635.333333333336,99.3
252,48,PBMC_Only,CD3neg_PBMC,CD40_B,2444.0,97.8
253,48,PBMC_Only,CD3neg_PBMC,CD40_DC,827.0,42.0
254,48,PBMC_Only,CD3neg_PBMC,CD40_MO,632.6666666666666,31.566666666666666
255,48,PBMC_Only,CD3neg_PBMC,CD80_B,46.96666666666667,1.47
256,48,PBMC_Only,CD3neg_PBMC,CD80_DC,110.33333333333333,5.776666666666666
257,48,PBMC_Only,CD3neg_PBMC,CD80_MO,99.26666666666667,2.7899999999999996
